Date,Total Sleep Hours,First Sleep Start,Last Sleep End,Number of Sessions,Year,Month,Month Name,Day of Week,Day of Month,Week of Year,Bedtime,Wake Time,Sleep Duration (minutes)
2022-03-23,6.5247222222222225,2022-03-23 01:28:32+03:00,2022-03-23 01:28:32+03:00,1,2022,3,March,Wednesday,23,12,01:28,01:28,391.48333333333335
2022-03-24,5.908611111111111,2022-03-24 02:05:30+03:00,2022-03-24 02:05:30+03:00,1,2022,3,March,Thursday,24,12,02:05,02:05,354.51666666666665
2022-03-25,7.003888888888889,2022-03-25 00:59:46+03:00,2022-03-25 00:59:46+03:00,1,2022,3,March,Friday,25,12,00:59,00:59,420.2333333333333
2022-03-28,5.376944444444445,2022-03-28 02:37:26+03:00,2022-03-28 02:37:26+03:00,1,2022,3,March,Monday,28,13,02:37,02:37,322.6166666666667
2022-03-29,6.0441666666666665,2022-03-29 01:57:22+03:00,2022-03-29 01:57:22+03:00,1,2022,3,March,Tuesday,29,13,01:57,01:57,362.65
2022-03-30,3.47,2022-03-30 04:31:49+03:00,2022-03-30 04:31:49+03:00,1,2022,3,March,Wednesday,30,13,04:31,04:31,208.20000000000002
2022-03-31,6.296388888888889,2022-03-31 01:42:14+03:00,2022-03-31 01:42:14+03:00,1,2022,3,March,Thursday,31,13,01:42,01:42,377.78333333333336
2022-04-01,5.426388888888889,2022-04-01 02:34:26+03:00,2022-04-01 02:34:26+03:00,1,2022,4,April,Friday,1,13,02:34,02:34,325.5833333333333
2022-04-04,4.943888888888889,2022-04-04 03:03:23+03:00,2022-04-04 03:03:23+03:00,1,2022,4,April,Monday,4,14,03:03,03:03,296.6333333333333
2022-04-05,1.5025,2022-04-05 06:29:52+03:00,2022-04-05 06:29:52+03:00,1,2022,4,April,Tuesday,5,14,06:29,06:29,90.14999999999999
2022-04-06,6.150555555555556,2022-04-06 01:50:59+03:00,2022-04-06 01:50:59+03:00,1,2022,4,April,Wednesday,6,14,01:50,01:50,369.03333333333336
2022-04-07,6.407777777777778,2022-04-07 01:35:34+03:00,2022-04-07 01:35:34+03:00,1,2022,4,April,Thursday,7,14,01:35,01:35,384.46666666666664
2022-04-08,4.592222222222222,2022-04-08 03:24:28+03:00,2022-04-08 03:24:28+03:00,1,2022,4,April,Friday,8,14,03:24,03:24,275.53333333333336
2022-04-11,5.7011111111111115,2022-04-11 01:48:06+03:00,2022-04-11 01:48:06+03:00,1,2022,4,April,Monday,11,15,01:48,01:48,342.06666666666666
2022-04-12,6.123611111111111,2022-04-12 01:52:37+03:00,2022-04-12 01:52:37+03:00,1,2022,4,April,Tuesday,12,15,01:52,01:52,367.41666666666663
2022-04-13,5.753611111111111,2022-04-13 02:14:47+03:00,2022-04-13 02:14:47+03:00,1,2022,4,April,Wednesday,13,15,02:14,02:14,345.21666666666664
2022-04-14,6.1563888888888885,2022-04-14 01:50:38+03:00,2022-04-14 01:50:38+03:00,1,2022,4,April,Thursday,14,15,01:50,01:50,369.3833333333333
2022-04-15,5.729444444444445,2022-04-15 02:16:15+03:00,2022-04-15 02:16:15+03:00,1,2022,4,April,Friday,15,15,02:16,02:16,343.7666666666667
2022-04-18,4.799166666666666,2022-04-18 02:32:17+03:00,2022-04-18 02:32:17+03:00,1,2022,4,April,Monday,18,16,02:32,02:32,287.95
2022-04-19,4.0325,2022-04-19 03:58:04+03:00,2022-04-19 03:58:04+03:00,1,2022,4,April,Tuesday,19,16,03:58,03:58,241.95
2022-04-20,5.388333333333334,2022-04-20 02:36:43+03:00,2022-04-20 02:36:43+03:00,1,2022,4,April,Wednesday,20,16,02:36,02:36,323.3
2022-04-21,7.083333333333333,2022-04-21 00:55:00+03:00,2022-04-21 00:55:00+03:00,1,2022,4,April,Thursday,21,16,00:55,00:55,425.0
2022-04-22,4.315,2022-04-22 02:51:48+03:00,2022-04-22 02:51:48+03:00,1,2022,4,April,Friday,22,16,02:51,02:51,258.90000000000003
2022-04-25,6.198611111111111,2022-04-25 01:48:06+03:00,2022-04-25 01:48:06+03:00,1,2022,4,April,Monday,25,17,01:48,01:48,371.9166666666667
2022-04-26,4.908333333333333,2022-04-26 03:05:19+03:00,2022-04-26 07:30:44+03:00,2,2022,4,April,Tuesday,26,17,03:05,07:30,294.5
